=== modslut debug trace ===
categories.dat: found
conflict index: 1564 related pair(s) loaded

--- pass 1: section assignment (per mod) ---
  Convert Fallout 4 Armor into Skyrim CBBE or 3BA 3BBB Bodies TUTORIAL | cat none | T4 no rule, category, or keyword matched | stay
  Output - Synthesis SFW | cat none | guard: generated output, never moves | stay
  Output - Synthesis | cat none | guard: generated output, never moves | stay
  Output - Bash | cat none | guard: generated output, never moves | stay
  Output - DynDOLOD | cat none | guard: generated output, never moves | stay
  Output - TexGen | cat none | guard: generated output, never moves | stay
  Output - xLodGen | cat none | guard: generated output, never moves | stay
  Output - ParallaxGen | cat none | guard: generated output, never moves | stay
  Output - VramR | cat none | guard: generated output, never moves | stay
  Output - Mismatcher | cat none | guard: generated output, never moves | stay
  Output - Bodyslide | cat none | guard: generated output, never moves | stay
  SkyGen_Output | cat none | T4 no rule, category, or keyword matched | stay
  Output - Pandora | cat none | guard: generated output, never moves | stay
  Output - Bendr | cat none | guard: generated output, never moves | stay
  Output ParallaxR | cat none | guard: generated output, never moves | stay
  Stable Hands - VR Mouse Stabilization mod | cat #48 "VR" | T4 no rule, category, or keyword matched | stay
  Open Composite - Main (No VR Keyboard) | cat none | T4 no rule, category, or keyword matched | stay
  Open Composite - Oclulus Default Controller Bindings | cat none | T4 no rule, category, or keyword matched | stay
  Open Composite - Main | cat none | T4 no rule, category, or keyword matched | stay
  Open Composite - ENB Fix (Wireless Only) | cat none | T4 no rule, category, or keyword matched | stay
  Open Composite | cat none | T4 no rule, category, or keyword matched | stay
  Constructible Objects Custom Keyword Framework - Settlement Builder Patch | cat none | T4 no rule, category, or keyword matched | stay
  BHKS - TNG - Official Patch Collection | cat none | T4 no rule, category, or keyword matched | stay
  VR Performance Kit (Probably just use Upscaler) | cat none | T4 no rule, category, or keyword matched | stay
  VR FPS Stabilizer (REINSTALL FMOD AND CONFIGURE) | cat #48 "VR" | T4 no rule, category, or keyword matched | stay
  KonsumE AE | cat none | T4 no rule, category, or keyword matched | stay
  Jk's Rb and Eek Dragonsreach patch | cat none | T4 no rule, category, or keyword matched | stay
  CoMAP | cat none | T4 no rule, category, or keyword matched | stay
  Terrain Shadows - Mod Patches | cat #34 "Patches" | T2 category~separator fuzzy [Patches] shared=patches | stay
  Deadly Spell Impact - Patches | cat #34 "Patches" | T2 category~separator fuzzy [Patches] shared=patches | stay
  Keyword Patch Collection | cat #34 "Patches" | T2 category~separator fuzzy [Patches] shared=patches | stay
  The Distinct JK's Ragged Flagon - Lux patch | cat #34 "Patches" | family: follows master [Distinct JK's Ragged Flagon] | stay
  Distinct JK's Ragged Flagon | cat #34 "Patches" | T2 category~separator fuzzy [Patches] shared=patches | stay
  JK's Interiors Patch Collection | cat #34 "Patches" | T2 category~separator fuzzy [Patches] shared=patches | stay
  kryptopyr's Automated Patches | cat #34 "Patches" | T2 category~separator fuzzy [Patches] shared=patches | stay
  Realm of Lorkhan Lighting Patch for Lux | cat #34 "Patches" | T2 category~separator fuzzy [Patches] shared=patches | stay
  Mesh patches for Lux and Lux Orbis | cat #34 "Patches" | T2 category~separator fuzzy [Patches] shared=patches | stay
  Lux (patch hub) | cat #34 "Patches" | T2 category~separator fuzzy [Patches] shared=patches | stay
  Lux Orbis (patch hub) | cat #34 "Patches" | T2 category~separator fuzzy [Patches] shared=patches | stay
  Lux - RedBag's Falkreath Lanterns | cat #34 "Patches" | T2 category~separator fuzzy [Patches] shared=patches | stay
  Realistic RS Children and Alternate Perspective Patch | cat #34 "Patches" | T2 category~separator fuzzy [Patches] shared=patches | stay
  Realm of Lorkhan Nicer Trees | cat #34 "Patches" | T2 category~separator fuzzy [Patches] shared=patches | stay
  Realm of Lorkhan Better Bridges | cat #34 "Patches" | T2 category~separator fuzzy [Patches] shared=patches | stay
  Realm of Lorkhan - Bleak Falls Barrow Dragonstone Skip | cat #34 "Patches" | T2 category~separator fuzzy [Patches] shared=patches | stay
  Realm of Lorkhan - Unbound Quest Fix | cat #34 "Patches" | T2 category~separator fuzzy [Patches] shared=patches | stay
  CC Fishing Campfire patch | cat #34 "Patches" | T2 category~separator fuzzy [Patches] shared=patches | stay
  Divine Daedric Cloaks - Skypatched | cat #34 "Patches" | T2 category~separator fuzzy [Patches] shared=patches | stay
  Artesian Cloaks of Skyrim | cat #34 "Patches" | T2 category~separator fuzzy [Patches] shared=patches | stay
  Pan NPCs DG - Legendary Skyrim Crossbows | cat #34 "Patches" | T2 category~separator fuzzy [Patches] shared=patches | stay
  RASS - NAT III Weather | cat #34 "Patches" | T2 category~separator fuzzy [Patches] shared=patches | stay
  XPMSSE Skeleton for RS Children Overhaul | cat #34 "Patches" | T2 category~separator fuzzy [Patches] shared=patches | stay
  RS Children Patch Compendium | cat #34 "Patches" | T2 category~separator fuzzy [Patches] shared=patches | stay
  Silverstead Grass Patch | cat #34 "Patches" | T2 category~separator fuzzy [Patches] shared=patches | stay
